OBJECTID,Shape_Leng,Shape_Area,zone,location_id,borough,longitude,latitude
1,0.11636,0.00078,Newark Airport,1,EWR,-74.17400027,40.69183121
2,0.43347,0.00487,Jamaica Bay,2,Queens,-73.83129854,40.61674529
3,0.08434,0.00031,Allerton/Pelham Gardens,3,Bronx,-73.84742223,40.86447368
4,0.04357,0.00011,Alphabet City,4,Manhattan,-73.97696826,40.72375214
5,0.09215,0.0005,Arden Heights,5,Staten Island,-74.1884841,40.55265929
6,0.15049,0.00061,Arrochar/Fort Wadsworth,6,Staten Island,-74.07177056,40.60032415
7,0.10742,0.00039,Astoria,7,Queens,-73.91969432,40.76149256
8,0.02759,0.00003,Astoria Park,8,Queens,-73.92308616,40.77855865
9,0.09978,0.00034,Auburndale,9,Queens,-73.78794888,40.75103503
10,0.09984,0.00044,Baisley Park,10,Queens,-73.79098636,40.67895331
11,0.07921,0.00026,Bath Beach,11,Brooklyn,-74.00748816,40.60427284
12,0.03666,0.00004,Battery Park,12,Manhattan,-74.01556351,40.70294583
13,0.05028,0.00015,Battery Park City,13,Manhattan,-74.01607915,40.71203816
14,0.17521,0.00138,Bay Ridge,14,Brooklyn,-74.02989237,40.62483492
15,0.14434,0.00093,Bay Terrace/Fort Totten,15,Queens,-73.78597228,40.78333305
16,0.14129,0.00087,Bayside,16,Queens,-73.77342182,40.76273838
17,0.09352,0.00032,Bedford,17,Brooklyn,-73.94990504,40.69150749
18,0.0698,0.00015,Bedford Park,18,Bronx,-73.89018329,40.86768246
19,0.10182,0.00055,Bellerose,19,Queens,-73.72665538,40.73548678
20,0.05144,0.00013,Belmont,20,Bronx,-73.88586748,40.85777968
21,0.11597,0.00038,Bensonhurst East,21,Brooklyn,-73.9835371,40.60142944
22,0.12617,0.00047,Bensonhurst West,22,Brooklyn,-73.99525858,40.61221826
23,0.29056,0.0022,Bloomfield/Emerson Hill,23,Staten Island,-74.17088688,40.6064477
24,0.047,0.00006,Bloomingdale,24,Manhattan,-73.96547952,40.80197049
25,0.04715,0.00012,Boerum Hill,25,Brooklyn,-73.98611382,40.68563374
26,0.12355,0.00053,Borough Park,26,Brooklyn,-73.98866123,40.63094966
27,0.20251,0.00134,Breezy Point/Fort Tilden/Riis Beach,27,Queens,-73.90690832,40.55913328
28,0.09796,0.00029,Briarwood/Jamaica Hills,28,Queens,-73.80872902,40.71159636
29,0.07141,0.0002,Brighton Beach,29,Brooklyn,-73.96121677,40.58092197
30,0.09451,0.00015,Broad Channel,30,Queens,-73.82192696,40.60368744
31,0.09642,0.00033,Bronx Park,31,Bronx,-73.87547595,40.85774668
32,0.05427,0.00015,Bronxdale,32,Bronx,-73.864901,40.86400221
33,0.05327,0.00015,Brooklyn Heights,33,Brooklyn,-73.99525012,40.69579822
34,0.06571,0.00017,Brooklyn Navy Yard,34,Brooklyn,-73.97118869,40.70085574
35,0.08579,0.00032,Brownsville,35,Brooklyn,-73.91025783,40.66400312
36,0.08705,0.00025,Bushwick North,36,Brooklyn,-73.91771053,40.7005222
37,0.14281,0.00045,Bushwick South,37,Brooklyn,-73.92224002,40.69499432
38,0.08322,0.00033,Cambria Heights,38,Queens,-73.73555427,40.69434147
39,0.13237,0.0009,Canarsie,39,Brooklyn,-73.89973496,40.63803714
40,0.05185,0.00011,Carroll Gardens,40,Brooklyn,-73.99595619,40.67919901
41,0.05279,0.00014,Central Harlem,41,Manhattan,-73.951292,40.80433395
42,0.09271,0.00026,Central Harlem North,42,Manhattan,-73.94077167,40.81825786
43,0.09974,0.00038,Central Park,43,Manhattan,-73.96555357,40.7824781
44,0.23569,0.00194,Charleston/Tottenville,44,Staten Island,-74.23353355,40.52549458
45,0.04591,0.00009,Chinatown,45,Manhattan,-73.9981515,40.71245931
46,0.13448,0.00093,City Island,46,Bronx,-73.78198715,40.84908594
47,0.08983,0.00016,Claremont/Bathgate,47,Bronx,-73.90031591,40.84274918
48,0.04375,0.00009,Clinton East,48,Manhattan,-73.98984464,40.76225276
49,0.07529,0.0002,Clinton Hill,49,Brooklyn,-73.96236354,40.68796746
50,0.05575,0.00017,Clinton West,50,Manhattan,-73.99513522,40.76623773
51,0.09536,0.0004,Co-Op City,51,Bronx,-73.82826367,40.87397305
52,0.02891,0.00005,Cobble Hill,52,Brooklyn,-73.99672403,40.68665124
53,0.1615,0.00095,College Point,53,Queens,-73.8428135,40.78091236
54,0.07622,0.00013,Columbia Street,54,Brooklyn,-74.00291128,40.68720075
55,0.14996,0.00074,Coney Island,55,Brooklyn,-73.98794343,40.57696075
56,0.05685,0.00018,Corona,56,Queens,-73.85884525,40.74140677
57,0.01927,0.00002,Corona,56,Queens,-73.85358156,40.75181937
58,0.05986,0.0002,Country Club,58,Bronx,-73.82039319,40.8414521
59,0.03779,0.00006,Crotona Park,59,Bronx,-73.89498588,40.83855029
60,0.07865,0.00016,Crotona Park East,60,Bronx,-73.88590003,40.83399048
61,0.11731,0.00051,Crown Heights North,61,Brooklyn,-73.93928706,40.67446942
62,0.08226,0.00016,Crown Heights South,62,Brooklyn,-73.94878854,40.66654041
63,0.1191,0.00035,Cypress Hills,63,Brooklyn,-73.87817261,40.68383976
64,0.18445,0.00106,Douglaston,64,Queens,-73.73933715,40.76061561
65,0.04461,0.00008,Downtown Brooklyn/MetroTech,65,Brooklyn,-73.986086,40.69533753
66,0.05463,0.00011,DUMBO/Vinegar Hill,66,Brooklyn,-73.98570162,40.70225894
67,0.09975,0.00039,Dyker Heights,67,Brooklyn,-74.01380149,40.61961947
68,0.04934,0.00011,East Chelsea,68,Manhattan,-73.99991742,40.74842756
69,0.07899,0.0002,East Concourse/Concourse Village,69,Bronx,-73.9150293,40.8314167
70,0.06384,0.0002,East Elmhurst,70,Queens,-73.8683956,40.7633522
71,0.09317,0.00038,East Flatbush/Farragut,71,Brooklyn,-73.93796627,40.64428817
72,0.0952,0.00032,East Flatbush/Remsen Village,72,Brooklyn,-73.92225097,40.6523648
73,0.0853,0.00029,East Flushing,73,Queens,-73.80729418,40.75410889
74,0.11029,0.0003,East Harlem North,74,Manhattan,-73.93734561,40.80116948
75,0.08766,0.00024,East Harlem South,75,Manhattan,-73.94575027,40.79001075
76,0.2412,0.00127,East New York,76,Brooklyn,-73.87682061,40.6609352
77,0.07546,0.00019,East New York/Pennsylvania Avenue,77,Brooklyn,-73.89536412,40.66655894
78,0.09359,0.00019,East Tremont,78,Bronx,-73.88552182,40.84496041
79,0.04262,0.00011,East Village,79,Manhattan,-73.98593746,40.7276202
80,0.11721,0.00041,East Williamsburg,80,Brooklyn,-73.93679314,40.71536988
81,0.19759,0.0004,Eastchester,81,Bronx,-73.83664334,40.88093541
82,0.11988,0.00032,Elmhurst,82,Queens,-73.87711833,40.73949565
83,0.10598,0.00022,Elmhurst/Maspeth,83,Queens,-73.89217338,40.73832381
84,0.23362,0.00207,Eltingville/Annadale/Prince's Bay,84,Staten Island,-74.18767433,40.52868645
85,0.05748,0.00014,Erasmus,85,Brooklyn,-73.95162318,40.64611635
86,0.13425,0.00062,Far Rockaway,86,Queens,-73.7552437,40.60243279
87,0.0369,0.00007,Financial District North,87,Manhattan,-74.00749599,40.70680845
88,0.0352,0.00006,Financial District South,88,Manhattan,-74.01151503,40.7033579
89,0.12279,0.00045,Flatbush/Ditmas Park,89,Brooklyn,-73.96096825,40.63790012
90,0.03076,0.00006,Flatiron,90,Manhattan,-73.99697142,40.74227863
91,0.125,0.00054,Flatlands,91,Brooklyn,-73.93009701,40.62627276
92,0.11783,0.00037,Flushing,92,Queens,-73.8288587,40.76110219
93,0.171,0.00059,Flushing Meadows-Corona Park,93,Queens,-73.84086726,40.74067587
94,0.04983,0.00006,Fordham South,94,Bronx,-73.89953593,40.8581552
95,0.11363,0.00057,Forest Hills,95,Queens,-73.84766941,40.72143228
96,0.18518,0.00055,Forest Park/Highland Park,96,Queens,-73.87155843,40.69700061
97,0.06248,0.00016,Fort Greene,97,Brooklyn,-73.97488209,40.69078679
98,0.12166,0.00049,Fresh Meadows,98,Queens,-73.77725347,40.73446263
99,0.18337,0.00121,Freshkills Park,99,Staten Island,-74.18641851,40.57677364
100,0.02481,0.00004,Garment District,100,Manhattan,-73.9887866,40.75351276
101,0.10171,0.00045,Glen Oaks,101,Queens,-73.71102599,40.74599382
102,0.1369,0.0003,Glendale,102,Queens,-73.87573577,40.70354561
103,0.01431,0.00001,Governor's Island/Ellis Island/Liberty Island,103,Manhattan,-74.04528829,40.6898601
104,0.02122,0.00001,Governor's Island/Ellis Island/Liberty Island,103,Manhattan,-74.04077077,40.69876867
105,0.07743,0.00037,Governor's Island/Ellis Island/Liberty Island,103,Manhattan,-74.01907273,40.68878424
106,0.04921,0.00011,Gowanus,106,Brooklyn,-73.99064727,40.6735128
107,0.03804,0.00007,Gramercy,107,Manhattan,-73.98405213,40.73682406
108,0.11117,0.00035,Gravesend,108,Brooklyn,-73.98143115,40.58840347
109,0.17827,0.00117,Great Kills,109,Staten Island,-74.15088981,40.551863
110,0.10395,0.00053,Great Kills Park,110,Staten Island,-74.12834244,40.54578032
111,0.05993,0.00021,Green-Wood Cemetery,111,Brooklyn,-73.9902345,40.65213727
112,0.10727,0.00046,Greenpoint,112,Brooklyn,-73.9495403,40.72950628
113,0.03275,0.00006,Greenwich Village North,113,Manhattan,-73.99430477,40.73257907
114,0.03173,0.00005,Greenwich Village South,114,Manhattan,-73.99738026,40.72834039
115,0.11617,0.00037,Grymes Hill/Clifton,115,Staten Island,-74.08783881,40.61797138
116,0.06812,0.00026,Hamilton Heights,116,Manhattan,-73.94852173,40.82701265
117,0.16989,0.0009,Hammels/Arverne,117,Queens,-73.78962208,40.59405875
