OBJECTID,Shape_Leng,Shape_Area,zone,location_id,borough,longitude,latitude
4,0.04357,0.00011,Alphabet City,4,Manhattan,-73.97696826,40.72375214
12,0.03666,0.00004,Battery Park,12,Manhattan,-74.01556351,40.70294583
13,0.05028,0.00015,Battery Park City,13,Manhattan,-74.01607915,40.71203816
24,0.047,0.00006,Bloomingdale,24,Manhattan,-73.96547952,40.80197049
41,0.05279,0.00014,Central Harlem,41,Manhattan,-73.951292,40.80433395
42,0.09271,0.00026,Central Harlem North,42,Manhattan,-73.94077167,40.81825786
43,0.09974,0.00038,Central Park,43,Manhattan,-73.96555357,40.7824781
45,0.04591,0.00009,Chinatown,45,Manhattan,-73.9981515,40.71245931
48,0.04375,0.00009,Clinton East,48,Manhattan,-73.98984464,40.76225276
50,0.05575,0.00017,Clinton West,50,Manhattan,-73.99513522,40.76623773
68,0.04934,0.00011,East Chelsea,68,Manhattan,-73.99991742,40.74842756
74,0.11029,0.0003,East Harlem North,74,Manhattan,-73.93734561,40.80116948
75,0.08766,0.00024,East Harlem South,75,Manhattan,-73.94575027,40.79001075
79,0.04262,0.00011,East Village,79,Manhattan,-73.98593746,40.7276202
87,0.0369,0.00007,Financial District North,87,Manhattan,-74.00749599,40.70680845
88,0.0352,0.00006,Financial District South,88,Manhattan,-74.01151503,40.7033579
90,0.03076,0.00006,Flatiron,90,Manhattan,-73.99697142,40.74227863
100,0.02481,0.00004,Garment District,100,Manhattan,-73.9887866,40.75351276
103,0.01431,0.00001,Governor's Island/Ellis Island/Liberty Island,103,Manhattan,-74.04528829,40.6898601
104,0.02122,0.00001,Governor's Island/Ellis Island/Liberty Island,103,Manhattan,-74.04077077,40.69876867
105,0.07743,0.00037,Governor's Island/Ellis Island/Liberty Island,103,Manhattan,-74.01907273,40.68878424
107,0.03804,0.00007,Gramercy,107,Manhattan,-73.98405213,40.73682406
113,0.03275,0.00006,Greenwich Village North,113,Manhattan,-73.99430477,40.73257907
114,0.03173,0.00005,Greenwich Village South,114,Manhattan,-73.99738026,40.72834039
116,0.06812,0.00026,Hamilton Heights,116,Manhattan,-73.94852173,40.82701265
120,0.08326,0.00009,Highbridge Park,120,Manhattan,-73.9301822,40.84666775
125,0.04973,0.00008,Hudson Sq,125,Manhattan,-74.00748582,40.72629041
127,0.06002,0.00016,Inwood,127,Manhattan,-73.91930824,40.866075
128,0.07021,0.00021,Inwood Hill Park,128,Manhattan,-73.92436982,40.87237881
137,0.04611,0.00012,Kips Bay,137,Manhattan,-73.97649472,40.74043898
