OBJECTID,Shape_Leng,Shape_Area,zone,location_id,borough,latitude,longitude
1,0.11636,0.00078,Newark Airport,1,EWR,935996.821,191376.7495
2,0.43347,0.00487,Jamaica Bay,2,Queens,1031085.719,164018.7544
3,0.08434,0.00031,Allerton/Pelham Gardens,3,Bronx,1026452.617,254265.4787
4,0.04357,0.00011,Alphabet City,4,Manhattan,990633.9806,202959.7824
5,0.09215,0.0005,Arden Heights,5,Staten Island,931871.3701,140681.3514
6,0.15049,0.00061,Arrochar/Fort Wadsworth,6,Staten Island,964319.7354,157998.9356
7,0.10742,0.00039,Astoria,7,Queens,1006496.679,216719.2182
8,0.02759,0.00003,Astoria Park,8,Queens,1005551.571,222936.0876
9,0.09978,0.00034,Auburndale,9,Queens,1043002.677,212969.849
10,0.09984,0.00044,Baisley Park,10,Queens,1042223.605,186706.4965
11,0.07921,0.00026,Bath Beach,11,Brooklyn,982170.7832,159429.3169
12,0.03666,0.00004,Battery Park,12,Manhattan,979934.7306,195378.9729
13,0.05028,0.00015,Battery Park City,13,Manhattan,979792.331,198691.5254
14,0.17521,0.00138,Bay Ridge,14,Brooklyn,975952.0351,166921.5504
15,0.14434,0.00093,Bay Terrace/Fort Totten,15,Queens,1043521.383,224738.613
16,0.14129,0.00087,Bayside,16,Queens,1047016.784,217243.7605
17,0.09352,0.00032,Bedford,17,Brooklyn,998142.2061,191215.0684
18,0.0698,0.00015,Bedford Park,18,Bronx,1014623.327,255416.7422
19,0.10182,0.00055,Bellerose,19,Queens,1060002.75,207352.3525
20,0.05144,0.00013,Belmont,20,Bronx,1015821.861,251810.3035
21,0.11597,0.00038,Bensonhurst East,21,Brooklyn,988821.3916,158393.6578
22,0.12617,0.00047,Bensonhurst West,22,Brooklyn,985566.4177,162323.8287
23,0.29056,0.0022,Bloomfield/Emerson Hill,23,Staten Island,936800.3814,160268.1237
24,0.047,0.00006,Bloomingdale,24,Manhattan,993807.2717,231458.3761
25,0.04715,0.00012,Boerum Hill,25,Brooklyn,988101.2213,189071.5791
26,0.12355,0.00053,Borough Park,26,Brooklyn,987397.4627,169148.4075
27,0.20251,0.00134,Breezy Point/Fort Tilden/Riis Beach,27,Queens,1010116.053,142998.0971
28,0.09796,0.00029,Briarwood/Jamaica Hills,28,Queens,1037276.45,198588.1804
29,0.07141,0.0002,Brighton Beach,29,Brooklyn,995023.095,150924.2769
30,0.09451,0.00015,Broad Channel,30,Queens,1033697.382,159266.0869
31,0.09642,0.00033,Bronx Park,31,Bronx,1018696.401,251801.9134
32,0.05427,0.00015,Bronxdale,32,Bronx,1021618.218,254085.6841
33,0.05327,0.00015,Brooklyn Heights,33,Brooklyn,985567.1394,192774.4924
34,0.06571,0.00017,Brooklyn Navy Yard,34,Brooklyn,992238.7449,194618.4257
35,0.08579,0.00032,Brownsville,35,Brooklyn,1009147.231,181203.3211
36,0.08705,0.00025,Bushwick North,36,Brooklyn,1007067.378,194506.2646
37,0.14281,0.00045,Bushwick South,37,Brooklyn,1005813.838,192491.0725
38,0.08322,0.00033,Cambria Heights,38,Queens,1057581.886,192354.3753
39,0.13237,0.0009,Canarsie,39,Brooklyn,1012077.483,171746.3489
40,0.05185,0.00011,Carroll Gardens,40,Brooklyn,985371.611,186726.9442
